Description,Name,Number,Source
Number of Soccer Players in,Mexico,"9464",World Population Review (Feb 2026)
Number of Soccer Players in,Spain,"8560",World Population Review (Feb 2026)
Number of Soccer Players in,United Kingdom,"5582",World Population Review (Feb 2026)
Number of Soccer Players in,Turkey,"3917",World Population Review (Feb 2026)
Number of Soccer Players in,Russia,"3633",World Population Review (Feb 2026)
Number of Soccer Players in,Argentina,"3613",World Population Review (Feb 2026)
Number of Soccer Players in,Italy,"3101",World Population Review (Feb 2026)
Number of Soccer Players in,France,"2906",World Population Review (Feb 2026)
Number of Soccer Players in,United States,"2791",World Population Review (Feb 2026)
Number of Soccer Players in,Japan,"2126",World Population Review (Feb 2026)
Number of Soccer Players in,Brazil,"2123",World Population Review (Feb 2026)
Number of Soccer Players in,Portugal,"2074",World Population Review (Feb 2026)
Number of Soccer Players in,Iran,"1800",World Population Review (Feb 2026)
Number of Soccer Players in,Poland,"1710",World Population Review (Feb 2026)
Number of Soccer Players in,El Salvador,"1700",World Population Review (Feb 2026)
Number of Soccer Players in,Australia,"1597",World Population Review (Feb 2026)
Number of Soccer Players in,China,"1586",World Population Review (Feb 2026)
Number of Soccer Players in,Germany,"1562",World Population Review (Feb 2026)
Number of Soccer Players in,Belarus,"1534",World Population Review (Feb 2026)
Number of Soccer Players in,India,"1506",World Population Review (Feb 2026)
Number of Soccer Players in,Saudi Arabia,"1505",World Population Review (Feb 2026)
Number of Soccer Players in,Belgium,"1491",World Population Review (Feb 2026)
Number of Soccer Players in,Indonesia,"1431",World Population Review (Feb 2026)
Number of Soccer Players in,Chile,"1350",World Population Review (Feb 2026)
Number of Soccer Players in,Thailand,"1338",World Population Review (Feb 2026)
Number of Soccer Players in,Ukraine,"1288",World Population Review (Feb 2026)
Number of Soccer Players in,Kazakhstan,"1195",World Population Review (Feb 2026)
Number of Soccer Players in,Croatia,"1188",World Population Review (Feb 2026)
Number of Soccer Players in,Colombia,"1163",World Population Review (Feb 2026)
Number of Soccer Players in,Netherlands,"1150",World Population Review (Feb 2026)
Number of Soccer Players in,Switzerland,"1140",World Population Review (Feb 2026)
Number of Soccer Players in,Greece,"1086",World Population Review (Feb 2026)
Number of Soccer Players in,Hungary,"1055",World Population Review (Feb 2026)
Number of Soccer Players in,Uganda,991,World Population Review (Feb 2026)
Number of Soccer Players in,Serbia,972,World Population Review (Feb 2026)
Number of Soccer Players in,Guatemala,945,World Population Review (Feb 2026)
Number of Soccer Players in,Slovakia,907,World Population Review (Feb 2026)
Number of Soccer Players in,Ecuador,897,World Population Review (Feb 2026)
Number of Soccer Players in,Albania,869,World Population Review (Feb 2026)
Number of Soccer Players in,Israel,818,World Population Review (Feb 2026)
Number of Soccer Players in,Costa Rica,818,World Population Review (Feb 2026)
Number of Soccer Players in,Austria,814,World Population Review (Feb 2026)
Number of Soccer Players in,Malaysia,782,World Population Review (Feb 2026)
Number of Soccer Players in,South Korea,780,World Population Review (Feb 2026)
Number of Soccer Players in,Vietnam,770,World Population Review (Feb 2026)
Number of Soccer Players in,Haiti,720,World Population Review (Feb 2026)
Number of Soccer Players in,Bulgaria,711,World Population Review (Feb 2026)
Number of Soccer Players in,Ghana,704,World Population Review (Feb 2026)
Number of Soccer Players in,Denmark,673,World Population Review (Feb 2026)
Number of Soccer Players in,Paraguay,662,World Population Review (Feb 2026)
Number of Soccer Players in,Egypt,642,World Population Review (Feb 2026)
Number of Soccer Players in,Armenia,637,World Population Review (Feb 2026)
Number of Soccer Players in,Azerbaijan,630,World Population Review (Feb 2026)
Number of Soccer Players in,Cambodia,614,World Population Review (Feb 2026)
Number of Soccer Players in,Uzbekistan,611,World Population Review (Feb 2026)
Number of Soccer Players in,Bolivia,563,World Population Review (Feb 2026)
Number of Soccer Players in,Peru,555,World Population Review (Feb 2026)
Number of Soccer Players in,Angola,550,World Population Review (Feb 2026)
Number of Soccer Players in,Algeria,549,World Population Review (Feb 2026)
Number of Soccer Players in,South Africa,541,World Population Review (Feb 2026)
Number of Soccer Players in,Georgia,533,World Population Review (Feb 2026)
Number of Soccer Players in,Romania,531,World Population Review (Feb 2026)
Number of Soccer Players in,Oman,531,World Population Review (Feb 2026)
Number of Soccer Players in,United Arab Emirates,530,World Population Review (Feb 2026)
Number of Soccer Players in,Malta,530,World Population Review (Feb 2026)
Number of Soccer Players in,Ethiopia,517,World Population Review (Feb 2026)
Number of Soccer Players in,Uruguay,516,World Population Review (Feb 2026)
Number of Soccer Players in,Cyprus,511,World Population Review (Feb 2026)
Number of Soccer Players in,Venezuela,505,World Population Review (Feb 2026)
Number of Soccer Players in,Kuwait,451,World Population Review (Feb 2026)
Number of Soccer Players in,Jamaica,447,World Population Review (Feb 2026)
Number of Soccer Players in,Qatar,430,World Population Review (Feb 2026)
Number of Soccer Players in,Norway,420,World Population Review (Feb 2026)
Number of Soccer Players in,Botswana,400,World Population Review (Feb 2026)
Number of Soccer Players in,Panama,396,World Population Review (Feb 2026)
